Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2019;3;2019-08-31;Contrat de plus d'un mois;CDI;262097;349792
2019;3;2019-09-30;Contrat de plus d'un mois;CDI;566739;360699
2019;4;2019-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;344619;356101
2019;4;2019-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;310233;382146
2020;1;2020-02-29;Contrat de plus d'un mois;CDI;333987;377054
2020;1;2020-03-31;Contrat de plus d'un mois;CDI;282612;283169
2020;4;2020-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;353897;379524
2020;4;2020-10-31;Contrat de plus d'un mois;CDI;364025;311176
2020;4;2020-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;265546;311086
2021;1;2021-01-31;Contrat de plus d'un mois;CDI;373037;306890
2021;1;2021-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;208069;339828
2021;1;2021-03-31;Contrat de plus d'un mois;CDI;315609;311798
2021;2;2021-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;247721;288971
2021;2;2021-04-30;Contrat de plus d'un mois;CDI;289323;306559
2021;2;2021-05-31;Contrat de plus d'un mois;CDI;332278;382596
2021;3;2021-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;321364;405742
2021;4;2021-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;354655;414564
2021;4;2021-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;254245;390022
2021;4;2021-12-31;Contrat de plus d'un mois;CDI;295985;407809
2022;1;2022-02-28;Contrat de plus d'un mois;CDI;365699;415973
2022;2;2022-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;378783;407333
2022;2;2022-06-30;Contrat de plus d'un mois;CDI;386419;428908
2022;3;2022-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;594656;389234
2022;3;2022-09-30;Contrat de plus d'un mois;CDI;688341;434225
2022;4;2022-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;385183;404360
2022;4;2022-12-31;Contrat de plus d'un mois;CDI;305739;428518
2023;1;2023-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;367281;390586
2023;1;2023-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;242458;398373
2023;1;2023-02-28;Contrat de plus d'un mois;CDI;374694;427719
2023;2;2023-04-30;Contrat de plus d'un mois;CDI;386186;415467
2023;3;2023-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;830159;399885
2023;3;2023-09-30;Contrat de plus d'un mois;CDI;666748;420573
2024;1;2024-02-29;Contrat de plus d'un mois;CDI;365959;415152
2024;1;2024-03-31;Contrat de plus d'un mois;CDI;382018;406330
2024;2;2024-04-30;Contrat de plus d'un mois;CDI;396748;404069
2024;2;2024-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;398574;361006
2024;4;2024-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;346617;369526
2024;4;2024-10-31;Contrat de plus d'un mois;CDI;456547;377654
2024;4;2024-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;308615;387457
2025;2;2025-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;346650;381478
2025;2;2025-05-31;Contrat de plus d'un mois;CDI;345985;396899
2025;2;2025-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;415337;370395
2025;3;2025-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;542079;359382
2000;2;2000-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;276519;322384
2000;2;2000-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;296541;337045
2000;2;2000-06-30;Contrat de plus d'un mois;CDI;248714;281050
2000;3;2000-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;628024;319317
2000;3;2000-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;434567;311893
2000;4;2000-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;203328;314070
2001;1;2001-02-28;Contrat de plus d'un mois;CDI;282190;300635
2001;2;2001-04-30;Contrat de plus d'un mois;CDI;289598;290125
2001;2;2001-05-31;Contrat de plus d'un mois;CDI;261511;294678
2001;2;2001-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400277;310065
2001;3;2001-07-31;Contrat de plus d'un mois;CDI;255995;287343
2001;3;2001-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;189338;304906
2001;3;2001-08-31;Contrat de plus d'un mois;CDI;191858;286172
2001;3;2001-09-30;Contrat de plus d'un mois;CDI;373899;275205
2001;4;2001-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;331077;305768
2001;4;2001-10-31;Contrat de plus d'un mois;CDI;358647;274946
2001;4;2001-11-30;Contrat de plus d'un mois;CDI;268620;268269
2001;4;2001-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;209816;315070
2002;1;2002-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;249629;294501
2002;1;2002-01-31;Contrat de plus d'un mois;CDI;334389;272448
2002;1;2002-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189933;294029
2002;2;2002-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;384359;292283
2002;3;2002-07-31;Contrat de plus d'un mois;CDI;238749;264804
2002;3;2002-08-31;Contrat de plus d'un mois;CDI;177003;264628
2002;4;2002-11-30;Contrat de plus d'un mois;CDI;253760;261699
2002;4;2002-12-31;Contrat de plus d'un mois;CDI;201510;246512
